cpt_code,par_amount,state
21016,953.13,
21025,784.84,
21025,665.04,
21026,530.81,
21026,431.24,
21029,719.13,
21029,592.26,
21030,464.34,
21030,369.59,
21031,365.66,
21031,266.41,
21032,366.15,
21032,261.44,
21034,"1,228.68",
21034,"1,080.61",
21040,467.88,
21040,370.56,
21044,821.08,
21045,"1,149.65",
21046,"1,002.27",
21047,"1,225.94",
21048,"1,016.99",
21049,"1,150.34",
21050,839.82,
21060,764.3,
21070,597.49,
21073,359.22,
21073,239.41,
21076,866.63,
21076,726.91,
21077,"2,146.13",
21077,"1,805.99",
21079,"1,459.30",
21079,"1,211.98",
21080,"1,666.97",
21080,"1,366.33",
21081,"1,531.03",
21081,"1,249.02",
21082,"1,417.56",
21082,"1,148.72",
21083,"1,349.57",
21083,"1,066.27",
21084,"1,546.06",
21084,"1,234.50",
21085,667.26,
21085,495.42,
21086,"1,596.53",
21086,"1,332.18",
21087,"1,596.53",
21087,"1,332.18",
21100,620.82,
21100,354.23,
21110,773.34,
21110,647.43,
21116,182.34,
21116,44.87,
21120,623.9,
21120,488.68,
21121,645.57,
21121,548.57,
21122,722.34,
21123,837.16,
21125,"2,627.05",
21125,667.42,
21127,"3,731.83",
21127,768.14,
21137,711.58,
21138,869.61,
21139,"1,049.44",
21141,"1,285.34",
21142,"1,321.30",
21143,"1,372.42",
21145,"1,504.36",
21146,"1,569.46",
21147,"1,654.77",
21150,"1,567.90",
21151,"1,727.12",
21154,"1,858.41",
21155,"2,063.56",
21159,"2,476.36",
21160,"2,687.46",
21172,"1,887.29",
21175,"2,110.56",
21179,"1,448.42",
21180,"1,620.37",
21181,702.11,
21182,"2,022.71",
21183,"2,202.99",
21184,"2,371.67",
21188,"1,554.66",
21193,"1,197.52",
21194,"1,380.49",
21195,"1,318.86",
21196,"1,360.62",
21198,"1,055.57",
21199,"1,002.32",
21206,"1,097.29",
21208,"1,594.99",
21208,728.08,
21209,757,
21209,579.37,
21210,"1,846.29",
21210,749.08,
21215,"3,800.05",
21215,778.55,
21230,705.23,
21235,679.89,
21235,532.78,
21240,"1,031.63",
21242,975.37,
21243,"1,572.81",
21244,969.99,
21245,"1,144.03",
21245,894.46,
21246,825.71,
21247,"1,537.41",
21248,975.92,
21248,793.16,
21249,"1,338.78",
21249,"1,122.62",
21255,"1,309.29",
21256,"1,178.12",
21260,"1,310.94",
21261,"2,327.83",
21263,"2,151.68",
21267,"1,532.27",
21268,"1,923.89",
21270,950.23,
21270,712.22,
21275,798.74,
21280,546.05,
21282,365.32,
21295,176.52,
21296,382.05,
21310,115.92,
21310,26.31,
21315,253.49,
21315,141.4,
21320,235.54,
21320,126.01,
21325,407.88,
21330,523.85,
21335,670.23,
21336,596.7,
21337,381.73,
21337,276.05,
21338,614.9,
21339,700.06,
21340,706.59,
21343,"1,012.79",
21344,"1,314.47",
21345,735.27,
21345,593.62,
21346,901.4,
21347,958.99,
21348,"1,030.92",
21355,402.23,
21355,303.3,
21356,466.41,
21356,354.64,
21360,483.86,
21365,"1,046.71",
21366,"1,213.11",
21385,705.31,
21386,619.61,
21387,736.43,
21390,760.69,
21395,960.61,
21400,187.13,
21400,149.23,
21401,479.65,
21401,303.64,
21406,547.15,
21407,611.55,
21408,856.72,
21421,631.79,
21421,535.43,
21422,609.89,
21423,727.47,
21431,661.19,
21432,677.84,
21433,"1,655.55",
21435,"1,335.22",
21436,"1,940.47",
21440,584.18,
21440,472.41,
21445,728.69,
21445,591.86,
21450,537.86,
21450,440.21,
21451,707.23,
21451,594.49,
21452,652.24,
21452,393.36,
21453,936.06,
21453,801.48,
21454,490.24,
21461,"1,864.12",
21461,944.86,
21462,"1,997.49",
21462,"1,048.03",
21465,808.95,
21470,"1,123.52",
21480,108.01,
21480,30.28,
21485,821.91,
21485,674.16,
21490,797.83,
21497,641.82,
21497,539.03,
21501,435.18,
21501,304.77,
21502,473.11,
21510,417.77,
21550,244.97,
21550,147.65,
21552,417.8,
21554,687.21,
21555,285.91,
21555,397.68,
21556,497.44,
21557,899.67,
21558,"1,266.50",
21600,516.67,
21601,"1,104.31",
21602,"1,482.65",
21603,"1,639.25",
21610,"1,081.35",
21615,577.64,
21616,668.53,
21620,473.42,
21627,504.32,
21630,"1,143.47",
21632,"1,131.68",
21685,934.34,
21700,334.6,
21705,502.09,
21720,472.07,
21725,507.78,
21740,964.46,
21750,637.37,
21811,560.14,
21812,682.81,
21813,927.55,
21820,135.51,
21820,134.54,
21825,506.56,
21920,239.19,
21920,148.61,
21925,434.67,
21925,338.31,
21930,457.29,
21930,340.7,
21931,440.65,
21932,621.68,
21933,692.62,
21935,965.21,
21936,"1,329.25",
22010,885.94,
22015,875.52,
22100,790.11,
22101,801.66,
22102,764.26,
22103,130.82,
22110,959.19,
22112,"1,013.22",
22114,"1,013.22",
22116,130.11,
22206,"2,266.67",
22207,"2,227.52",
22208,544.74,
22210,"1,649.03",
22212,"1,387.33",
22214,"1,391.22",
22216,338.37,
22220,"1,506.32",
22222,"1,575.01",
22224,"1,485.83",
22226,338.06,
22310,281.91,
22310,271.64,
22315,817.28,
22315,717.39,
22318,"1,486.97",
22319,"1,647.91",
22325,"1,336.73",
22326,"1,371.74",
22327,"1,390.19",
22328,259.62,
22505,122.51,
22510,"1,684.54",
22510,419.02,
22511,"1,666.99",
22511,392.47,
22512,792.91,
22512,199.01,
22513,"6,087.04",
22513,487.92,
22514,"6,059.94",
22514,454.72,
22515,"3,395.54",
22515,209.9,
22532,"1,655.94",
22533,"1,550.58",
22534,335.64,
22548,"1,768.13",
22551,"1,567.55",
22552,366.65,
22554,"1,156.42",
22556,"1,540.58",
22558,"1,427.73",
22585,304.77,
22586,"1,830.58",
22590,"1,440.70",
22595,"1,374.91",
22600,"1,182.88",
22610,"1,167.24",
22612,"1,474.52",
